id,character_name,rerun,revenue,rarity,region,vision,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,max_ascencion_hp,max_ascencion_atk,max_ascencion_def,max_lv_hp,max_lv_atk,max_lv_def,base_hp,base_atk,base_def,special_0,special_1,special_2,special_3,special_4,special_5,special_6,max_num_normal_atk,hair_color,eye_color
39,Eula,0,"12,619,390",5,Mondstadt,Cryo,Claymore,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,Knights of Favonius,2021/5/18,TRUE,Suzie Yeung,Ziyin ,Rina Sato ,Kim Hyeon-ji ,CRIT DMG,Dandelion Seed,Damaged Mask,Crystalline Bloom,Damaged Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dragon Lord's Crown,3686.4802,63.7182,225.225,"12,288",212,750,1030.3239,17.808,62.9475,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,5,blue,purple-yellow
40,Arataki Itto,1,"12,586,764",5,Inazuma,Geo,Claymore,Tall Male,Taurus Iracundus,1-Jun,Way of the Strong,Arataki Gang,2021/12/14,TRUE,Max Mittelman,Zhaokun Liu ,Takanori Nishikawa ,Song Joon-seok ,CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Slime Condensate,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,3327.6194,64.99256,196.56,"11,092",216,655,930.0268,18.16416,54.936,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,4,white,red-yellow
41,Hu Tao,0,"12,481,634",5,Liyue,Pyro,Polearm,Medium Female,Papilio Charontis,15-Jul,Ghostly March,Wangsheng Funeral Parlor,2021/3/2,TRUE,Brianna Knickerbocker,Dian Tao ,Rie Takahashi ,Kim Ha-ru ,CRIT DMG,Silk Flower,Whopperflower Nectar,Juvenile Jade,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shard of a Foul Legacy,2870.8872,69.452835,171.99,"9,569",231,573,802.3761,19.41072,48.069,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,6,brown,red
42,Albedo,0,"11,816,107",5,Mondstadt,Geo,Sword,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Knights of Favonius,2020/12/23,TRUE,Khoi Dao,Mace,Kenji Nojima ,Kim Myung-jun ,Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Divining Scroll,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,3719.104,69.45283508,213.554245,"12,397",231,711,1039.441772,19.41072,59.68567657,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,blonde,teal
43,Zhongli,1,"10,215,165",5,Liyue,Geo,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,2020/12/1,TRUE,Keith Silverstein,Bo Peng ,Tomoaki Maeno ,Pyo Yeong-jae ,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Slime Condensate,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,3523.362549,101.6894,171.99,"11,021",318,537,857.987976,24.7646,41.881,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,6,brown,amber
44,Kaedehara Kazuha,0,"9,807,112",5,Inazuma,Anemo,Sword,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,The Crux,2021/6/29,TRUE,Mark Whitten,Banma ,Nobunaga Shimazaki ,Kim Shin-woo ,Elemental Mastery,Sea Ganoderma,Treasure Hoarder Insignia,Marionette Core,Treasure Hoarder Insignia,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Gilded Scale,3751.7275,66.90411,213.96375,"12,506",223,713,1048.5597,18.6984,59.800125,0.00%,0.00%,28.80%,57.60%,57.60%,86.40%,115.20%,5,blonde,red
45,Keqing,0,"9,505,798",5,Liyue,Electro,Sword,Medium Female,Trulla Cementarii,20-Nov,Survival Grilled Fish,Liyue Qixing,2020/9/28,FALSE,Kayli Mills,Ying Xie ,Eri Kitamura ,Lee Bo-hee ,CRIT DMG,Cor Lapis,Whopperflower Nectar,Lightning Prism,Whopperflower Nectar,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Ring of Boreas,3327.62,91.74984,208.845,"10,409",287,653,810.322,22.344,50.8555,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,5,purple,purple
46,Yoimiya,0,"8,615,144",5,Inazuma,Pyro,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,2021/8/10,TRUE,Jenny Yokobori,Na Jin ,Kana Ueda ,Bak Sin-hee ,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Divining Scroll,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Dragon Lord's Crown,3311.961,95.57275,201.474,"10,360",298,630,806.5087,23.275,49.0606,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,blonde,golden
47,Tartaglia,2,"7,785,438",5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,2020/11/11,TRUE,Griffin Burns,Yudong ,Ryohei Kimura ,Nam Doh-hyeong ,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Recruit's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,4044.037354,112.3935547,253.5623932,"12,650",351,793,984.78,27.3714,61.74456,0.00%,0.00%,7.50%,15.00%,15.00%,22.50%,30.00%,6,ginger,blue
48,Sangonomiya Kokomi,0,"7,020,975",5,Inazuma,Hydro,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,2021/9/21,TRUE,Risa Mei,Guiniang ,Suzuko Mimori ,Yeo Yun-mi ,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Spectral Husk,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,4697.8169,66.595,184.275,"14,695",208,576,1143.984,16.218,44.8725,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,3,pink,blue
49,Klee,1,"7,006,180",5,Mondstadt,Pyro,Catalyst,Short Female,Trifolium,27-Jul,Fish-Flavored Toast,Knights of Favonius,2020/10/20,TRUE,Poonam Basu,Hualing ,Misaki Kuno ,Bang Yeon-ji ,Pyro DMG Bonus,Philanemo Mushroom,Divining Scroll,Everflame Seed,Divining Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas,4854.4106,73.39987,232.9236,"15,184",229,728,1182.1168,17.8752,56.71884,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%,3,blonde,red
50,Tartaglia,1,"6,965,445",5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,2020/11/11,TRUE,Griffin Burns,Yudong ,Ryohei Kimura ,Nam Doh-hyeong ,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Recruit's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,2936.1348,63.7182,171.99,"9,787",212,573,820.6119,17.808,48.069,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%,6,ginger,blue
